Value,LastModifiedDateUTC
"Kickapoo Traditional Tribe, Texas",2019-06-04
"Kickapoo Tribe of Indians, Kansas",2019-06-04
"Kickapoo Tribe, Oklahoma",2019-06-04
King Island Native Community,2019-06-04
King Salmon Tribe,2019-06-04
"Kiowa Indian Tribe, Oklahoma",2019-06-04
"Klamath Tribes, California and Oregon",2019-06-04
Klawock Cooperative Association,2019-06-04
Knik Tribe,2019-06-04
"Koi Nation, California",2019-06-04
Kokhanok Village,2019-06-04
"Kootenai Tribe, Idaho",2019-06-04
Koyukuk Native Village,2019-06-04
"La Jolla Band of Luiseno Indians, California",2019-06-04
"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",2019-06-04
"Lac Courte Oreilles Band of Lake Superior Chippewa Indians, Wisconsin",2019-06-04
"Lac du Flambeau Band of Lake Superior Chippewa Indians, Wisconsin",2019-06-04
"Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan",2019-06-04
"Las Vegas Tribe of Paiute Indians, Nevada",2019-06-04
Levelock Village,2019-06-04
Lime Village,2019-06-04
"Little River Band of Ottawa Indians, Michigan",2019-06-04
"Little Traverse Bay Bands of Odawa Indians, Michigan",2019-06-04
"Lone Pine Paiute-Shoshone Tribe, California",2019-06-04
"Los Coyotes Band of Cahuilla and Cupeno Indians, California",2019-06-04
"Lovelock Paiute Tribe, Nevada",2019-06-04
"Lower Brule Sioux Tribe, South Dakota",2019-06-04
"Lower Elwha Tribal Community, Washington",2019-06-04
"Lower Sioux Indian Community, Minnesota",2019-06-04
"Lummi Tribe, Washington",2019-06-04
"Lytton Rancheria, California",2019-06-04
"Makah Indian Tribe, Washington",2019-06-04
"Manchester Band of Pomo Indians, California",2019-06-04
Manley Hot Springs Village,2019-06-04
Manokotak Village,2019-06-04
"Manzanita Band of Diegueno Mission Indians, California",2019-06-04
"Mashantucket Pequot Indian Tribe, Connecticut",2019-06-04
"Mashpee Wampanoag Tribe, Massachusetts",2019-06-04
"Match-e-be-nash-she-wish Band of Pottawatomi Indians, Michigan",2019-06-04
McGrath Native Village,2019-06-04
"Mechoopda Indian Tribe of Chico Rancheria, California",2019-06-04
"Menominee Indian Tribe, Wisconsin",2019-06-04
Mentasta Traditional Council,2019-06-04
"Mesa Grande Band of Diegueno Mission Indians, California",2019-06-04
"Mescalero Apache Tribe, New Mexico",2019-06-04
"Metlakatla Indian Community, Annette Island Reserve",2019-06-04
"Miami Tribe, Oklahoma",2019-06-04
"Miccosukee Tribe of Indians, Florida",2019-06-04
"Middletown Rancheria of Pomo Indians, California",2019-06-04
"Minnesota Chippewa Tribe (Bois Forte / Nett Lake; Fond du Lac; Grand Portage; Leech Lake; Mille Lacs; White Earth), Minnesota",2019-06-04
"Mississippi Band of Choctaw Indians, Mississippi",2019-06-04
"Moapa Band of Paiute Indians, Nevada",2019-06-04
"Modoc Tribe, Oklahoma",2019-06-04
"Mohegan Tribe of Indians, Connecticut",2019-06-04
"Mooretown Rancheria of Maidu Indians, California",2019-06-04
"Morongo Band of Mission Indians, California",2019-06-04
"Muckleshoot Indian Tribe, Washington",2019-06-04
"Muscogee (Creek) Nation, Oklahoma",2019-06-04
Naknek Native Village,2019-06-04
"Narragansett Indian Tribe, Rhode Island",2019-06-04
Native Village of Afognak,2019-06-04
Native Village of Akhiok,2019-06-04
Native Village of Akutan,2019-06-04
Native Village of Aleknagik,2019-06-04
Native Village of Ambler,2019-06-04
Native Village of Atka,2019-06-04
Native Village of Barrow Inupiat Traditional Government,2019-06-04
Native Village of Belkofski,2019-06-04
Native Village of Brevig Mission,2019-06-04
Native Village of Buckland,2019-06-04
Native Village of Cantwell,2019-06-04
Native Village of Chenega,2019-06-04
Native Village of Chignik Lagoon,2019-06-04
Native Village of Chitina,2019-06-04
"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",2019-06-04
Native Village of Council,2019-06-04
Native Village of Deering,2019-06-04
Native Village of Diomede (Inalik),2019-06-04
Native Village of Eagle,2019-06-04
Native Village of Eek,2019-06-04
Native Village of Ekuk,2019-06-04
Native Village of Ekwok,2019-06-04
Native Village of Elim,2019-06-04
Native Village of Eyak (Cordova),2019-06-04
Native Village of False Pass,2019-06-04
Native Village of Fort Yukon,2019-06-04
Native Village of Gakona,2019-06-04
Native Village of Gambell,2019-06-04
Native Village of Georgetown,2019-06-04
Native Village of Goodnews Bay,2019-06-04
Native Village of Hamilton,2019-06-04
Native Village of Hooper Bay,2019-06-04
Native Village of Kanatak,2019-06-04
"Navajo Nation, Arizona, New Mexico & Utah",2019-06-04
"Nez Perce Tribe, Idaho",2019-06-04
"Nisqually Indian Tribe, Washington",2019-06-04
"Nooksack Indian Tribe, Washington",2019-06-04
"Northern Cheyenne Tribe, Montana",2019-06-04
"Northfork Rancheria of Mono Indians, California",2019-06-04
"Northwestern Band of the Shoshone Nation (Washakie), Utah",2019-06-04
"Nottawaseppi Huron Band of the Potawatomi, Michigan",2019-06-04
"Oglala Sioux Tribe, South Dakota",2019-06-04
"Ohkay Owingeh, New Mexico",2019-06-04
"Omaha Tribe, Nebraska",2019-06-04
"Oneida Nation, New York",2019-06-04
"Oneida Nation, Wisconsin",2019-06-04
"Onondaga Nation, New York",2019-06-04
"Osage Nation, Oklahoma",2019-06-04
"Otoe-Missouria Tribe of Indians, Oklahoma",2019-06-04
"Ottawa Tribe, Oklahoma",2019-06-04
"Paiute Indian Tribe (Cedar, Kanosh, Koosharem, Indian Peaks, and Shivwits), Utah",2019-06-04
"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",2019-06-04
"Pala Band of Mission Indians, California",2019-06-04
"Pamunkey Indian Tribe, Virginia",2019-06-04
"Pascua Yaqui Tribe, Arizona",2019-06-04
"Paskenta Band of Nomlaki Indians, California",2019-06-04
"Passamaquoddy Tribe, Maine",2019-06-04
"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",2019-06-04
"Pawnee Nation, Oklahoma",2019-06-04
"Pechanga Band of Luiseno Mission Indians, California",2019-06-04
"Penobscot Nation, Maine",2019-06-04
"Peoria Tribe of Indians, Oklahoma",2019-06-04
"Picayune Rancheria of Chukchansi Indians, California",2019-06-04
"Pinoleville Pomo Nation, California",2019-06-04
"Pit River Tribe, California",2019-06-04
"Poarch Band of Creeks, Alabama",2019-06-04
"Pokagon Band of Potawatomi Indians, Michigan & Indiana",2019-06-04
"Ponca Tribe of Indians, Oklahoma",2019-06-04
"Ponca Tribe, Nebraska",2019-06-04
"Port Gamble S’Klallam Tribe, Washington",2019-06-04
"Potter Valley Tribe, California",2019-06-04
"Prairie Band Potawatomi Nation, Kansas",2019-06-04
"Prairie Island Indian Community, Minnesota",2019-06-04
"Pueblo of Acoma, New Mexico",2019-06-04
"Pueblo of Cochiti, New Mexico",2019-06-04
"Pueblo of Isleta, New Mexico",2019-06-04
"Pueblo of Jemez, New Mexico",2019-06-04
"Pueblo of Laguna, New Mexico",2019-06-04
"Pueblo of Nambe, New Mexico",2019-06-04
"Pueblo of Picuris, New Mexico",2019-06-04
"Pueblo of Pojoaque, New Mexico",2019-06-04
"Pueblo of San Felipe, New Mexico",2019-06-04
"Pueblo of San Ildefonso, New Mexico",2019-06-04
"Pueblo of Sandia, New Mexico",2019-06-04
"Pueblo of Santa Ana, New Mexico",2019-06-04
"Pueblo of Santa Clara, New Mexico",2019-06-04
"Pueblo of Taos, New Mexico",2019-06-04
"Pueblo of Tesuque, New Mexico",2019-06-04
"Pueblo of Zia, New Mexico",2019-06-04
"Puyallup Tribe of the Puyallup Reservation, Washington",2019-06-04
"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",2019-06-04
"Quapaw Tribe of Indians, Oklahoma",2019-06-04
"Quartz Valley Indian Community, California",2019-06-04
"Quechan Tribe, California & Arizona",2019-06-04
"Quileute Tribe, Washington",2019-06-04
"Quinault Indian Nation, Washington",2019-06-04
"Ramona Band of Cahuilla, California",2019-06-04
"Red Cliff Band of Lake Superior Chippewa Indians, Wisconsin",2019-06-04
"Red Lake Band of Chippewa Indians, Minnesota",2019-06-04
"Redding Rancheria, California",2019-06-04
"Redwood Valley (Little River Band of Pomo Indians), California",2019-06-04
"Reno-Sparks Indian Colony, Nevada",2019-06-04
"Resighini Rancheria, California",2019-06-04
"Rincon Band of Luiseno Mission Indians, California",2019-06-04
"Robinson Rancheria, California",2019-06-04
"Rosebud Sioux Tribe, South Dakota",2019-06-04
"Round Valley Indian Tribes, California",2019-06-04
"Sac & Fox Nation, Missouri, Kansas, & Nebraska",2019-06-04
"Sac & Fox Nation, Oklahoma",2019-06-04
"Sac & Fox Tribe of the Mississippi, Iowa",2019-06-04
"Saginaw Chippewa Indian Tribe, Michigan",2019-06-04
"Saint Regis Mohawk Tribe, New York",2019-06-04
"Salt River Pima-Maricopa Indian Community, Arizona",2019-06-04
"Samish Indian Nation, Washington",2019-06-04
"San Carlos Apache Tribe, Arizona",2019-06-04
"San Juan Southern Paiute Tribe, Arizona",2019-06-04
"San Manuel Band of Mission Indians, California",2019-06-04
"San Pasqual Band of Diegueno Mission Indians, California",2019-06-04
"Santa Rosa Band of Cahuilla Indians, California",2019-06-04
"Santa Rosa Indian Community, California",2019-06-04
"Santa Ynez Band of Chumash Mission Indians, California",2019-06-04
"Santee Sioux Nation, Nebraska",2019-06-04
Sauk-Suiattle Indian Tribe,2019-06-04
"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",2019-06-04
"Scotts Valley Band of Pomo Indians, California",2019-06-04
"Seminole Nation, Oklahoma",2019-06-04
"Seminole Tribe, Florida",2019-06-04
"Seneca Nation of Indians, New York",2019-06-04
"Seneca–Cayuga Nation, Oklahoma",2019-06-04
"Shakopee Mdewakanton Sioux Community, Minnesota",2019-06-04
"Shawnee Tribe, Oklahoma",2019-06-04
"Sherwood Valley Rancheria of Pomo Indians, California",2019-06-04
"Shingle Springs Band of Miwok Indians, California",2019-06-04
"Shinnecock Indian Nation, New York",2019-06-04
"Shoalwater Bay Indian Tribe, Washington",2019-06-04
"Shoshone-Bannock Tribes of the Fort Hall Reservation, Idaho",2019-06-04
"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",2019-06-04
"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",2019-06-04
"Skokomish Indian Tribe, Washington",2019-06-04
"Skull Valley Band of Goshute Indians, Utah",2019-06-04
"Snoqualmie Indian Tribe, Washington",2019-06-04
"Soboba Band of Luiseno Indians, California",2019-06-04
"Sokaogon Chippewa Community, Wisconsin",2019-06-04
"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",2019-06-04
"Spirit Lake Tribe, North Dakota",2019-06-04
"Spokane Tribe, Washington",2019-06-04
"Squaxin Island Tribe, Washington",2019-06-04
"St. Croix Chippewa Indians, Wisconsin",2019-06-04
"Standing Rock Sioux Tribe, North & South Dakota",2019-06-04
"Stillaguamish Tribe of Indians, Washington",2019-06-04
"Stockbridge Munsee Community, Wisconsin",2019-06-04
"Summit Lake Paiute Tribe, Nevada",2019-06-04
"Suquamish Indian Tribe of the Port Madison Reservation, Washington",2019-06-04
"Susanville Indian Rancheria, California",2019-06-04
"Swinomish Indian Tribal Community, Washington",2019-06-04
"Sycuan Band of the Kumeyaay Nation, California",2019-06-04
"Table Mountain Rancheria, California",2019-06-04
"Tejon Indian Tribe, California",2019-06-04
"Te-Moak Tribe of Western Shoshone Indians (Battle Mountain; Elko; South Fork & Wells), Nevada",2019-06-04
"Thlopthlocco Tribal Town, Oklahoma",2019-06-04
"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",2019-06-04
"Tohono O’odham Nation, Arizona",2019-06-04
"Tolowa Dee-ni’ Nation (Smith River Rancheria), California",2019-06-04
"Tonawanda Band of Seneca, New York",2019-06-04
"Tonkawa Tribe of Indians, Oklahoma",2019-06-04
"Tonto Apache Tribe, Arizona",2019-06-04
"Torres Martinez Desert Cahuilla Indians, California",2019-06-04
"Tulalip Tribes, Washington",2019-06-04
"Tule River Indian Tribe, California",2019-06-04
"Tunica-Biloxi Indian Tribe, Louisiana",2019-06-04
"Tuolumne Band of Me-Wuk Indians, California",2019-06-04
"Turtle Mountain Band of Chippewa Indians, North Dakota",2019-06-04
"Tuscarora Nation, North Carolina",2019-06-04
"Twenty-Nine Palms Band of Mission Indians, California",2019-06-04
"United Auburn Indian Community, California",2019-06-04
"United Keetoowah Band of Cherokee Indians, Oklahoma",2019-06-04
"Upper Sioux Community, Minnesota",2019-06-04
"Upper Skagit Indian Tribe, Washington",2019-06-04
"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",2019-06-04
"Ute Mountain Ute Tribe, Colorado, New Mexico & Utah",2019-06-04
"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",2019-06-04
"Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians, California",2019-06-04
"Walker River Paiute Tribe, Nevada",2019-06-04
"Wampanoag Tribe of Gay Head (Aquinnah), Massachusetts",2019-06-04
"Washoe Tribe, Nevada & California",2019-06-04
"White Mountain Apache Tribe, Arizona",2019-06-04
"Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawakonie), Oklahoma",2019-06-04
"Wilton Rancheria, California",2019-06-04
"Winnebago Tribe, Nebraska",2019-06-04
"Winnemucca Indian Colony, Nevada",2019-06-04
"Wiyot Tribe (Table Bluff), California",2019-06-04
"Wyandotte Nation, Oklahoma",2019-06-04
"Yankton Sioux Tribe, South Dakota",2019-06-04
"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",2019-06-04
"Yavapai-Prescott Indian Tribe, Arizona",2019-06-04
"Yerington Paiute Tribe, Nevada",2019-06-04
"Yocha Dehe Wintun Nation (Rumsey), California",2019-06-04
"Yomba Shoshone Tribe, Nevada",2019-06-04
"Ysleta del Sur Pueblo, Texas",2019-06-04
"Yurok Tribe, California",2019-06-04
"Zuni Tribe, New Mexico",2019-06-04
